Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId
"38814080","24964538","0","In that PHP file, I am getting several database results, some in arrays, some in strings, which I need to show in 3 different tpl files. I will try with the `$smarty->display` and update.","2014-07-26 10:45:07","","2005071"
"38814081","24926353","0","there are always some ways to do things. but it depends on the use case, if you just need to hit a method with some params, then in that case it won't be a really good option.","2014-07-26 10:45:10","","3787750"
"38814083","24969752","0","@RohitVats ,I use the datagrid for data entry when the user enter first row ,I want to provide an new row for the user to enter new item","2014-07-26 10:45:17","","3008788"
"38814084","24969862","0","@FrederickCheung: It's just too simple :D Thanks for your help. Maybe you want to add an answer, so that I can check this question as answered.","2014-07-26 10:45:18","","3493998"
"38814085","24970073","0","Doh, how did I miss that? Much appreciated, I was starting to think I was going crazy.","2014-07-26 10:45:19","","3839120"
"38814086","24969932","0","I changed I'm trying","2014-07-26 10:45:19","","3794651"
"38814087","24957753","0","@frank Thank you. Well, I put it. (name is SHADERS). Now what to do ?","2014-07-26 10:45:30","","1614697"
"38814090","24967270","0","These are interesting questions. But not really about programming.","2014-07-26 10:45:52","","545127"
"38814091","24969635","0","@a_horse_with_no_name next time i'll","2014-07-26 10:46:00","user3814846",""
"38814092","24970167","0","The user types numbers and I only want the button to be enabled if all three textboxes contain numbers","2014-07-26 10:46:02","","3872762"
"38814093","24831034","0","could you please show code for cropping image?","2014-07-26 10:46:05","","2122991"
"38814095","24968975","0","@laune: Which kinda puts the lie to my *""In fact, your assignment in the loop you've shown isn't overwriting the previous value at all.""* :-) (In purely pragmatic terms.)","2014-07-26 10:46:29","","157247"
"38814096","24970115","0","I have used this SlidingMenu library in one of my apps since I needed backward compatibility. This library is not outdated and works pretty well. You can see many apps using this library, like LinkedIn for example.","2014-07-26 10:46:30","","1708743"
"38814097","24970131","0","I need to get only 16 bytes, and display it as string via console. I don't know","2014-07-26 10:46:33","","2475484"
"38814098","24960941","0","Thanks the images seem a little stretched. I found the following code which worked fine. you were on the right lines thanks.android:adjustViewBounds=""true""
        android:scaleType=""fitCenter""","2014-07-26 10:46:35","","532462"
"38814099","24969969","0","you were getting typecast error.. see my edited answer","2014-07-26 10:46:38","","3535925"
"38814100","24932294","0","It will be harder than I initially thought, it seems, and I don't have a complete answer yet. Still, you helped me a lot with this and deserve your bounty. Thanks and congratulations :)","2014-07-26 10:46:52","","2904025"
"38814102","24969213","0","but on the other hand i tried to find wich code defines where these graph names are placed?? i tried the layout part but i couldn't find , i want to change the stacked modes name s to appear vertically by the left side , this the code defining the name :  display.DataSources[j].Name = ""Graph "" + (j + 1); line567 column66 character66","2014-07-26 10:46:53","","3836391"
"38814103","24970177","0","Try `split` - I am sure you can look that up","2014-07-26 10:46:58","","892256"
"38814105","24969828","0","Thanks for the answer, Can you please share a pseudocode for multiplication operation ?","2014-07-26 10:47:03","","3741831"
"38814107","24969888","0","writeFile.createNewFile();  impossible to find a path...","2014-07-26 10:47:06","","3832184"
"38814108","24969890","0","no..i just want to style name adres and phone","2014-07-26 10:47:08","","2119788"
"38814109","24970070","0","@user3777110 look edited answer in the query","2014-07-26 10:47:12","","998158"
"38814110","24969793","0","oh..I am doing wrong. I do like this.Then, it is okay.          var vc = alertVC(nibName: ""alertVC"", bundle: nil)
        vc.setUpData(Helper.Stored.alertViewWithPlacehlder)
        self.view.addSubview(vc.view).","2014-07-26 10:47:13","","1550974"
