Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"31133870","1","40365282","","2015-06-30 09:00:22","","3","758","<p>First of all I'm not actually sure if this belongs to CrossValidated or to StackOverflow. I'm sorry if I posted this Question on the wrong site.</p>

<p>I'm comparing several datasets against an observational dataset using R. Each of these has about 10 million continuous float values (the length of the data vector is not exactly the same for each dataset).</p>

<p>I usually calculate the <strong>Kolmogorov-Smirnov</strong> statistic using the <code>ks.test()</code> function from the standard <code>stats</code> package, but now I'm especially interested in the extreme values of the distributions. The KS, as far as I understand, pretty much hides those. The same happens for the <strong>Kullback-Leibler</strong> (feel free to correct me if I'm wrong).</p>

<p>The <strong>Anderson-Darling</strong> test, on the other hand, is weighted to take into account the extremes of the distributions. However, I've not been able to find a simple implementation of the AD test that works on just two vectors as input (as <code>stats::ks.test()</code> does by just issuing <code>ks.test(obs.data, mod.data)</code>, where the two inputs are simple vectors), and neither I've been able to understand how to adapt my data to the functions I've tried.</p>

<p>I've taken a look at the following functions:</p>

<ul>
<li><code>cvm.test()</code> from package <code>dgof</code>, with option <code>type=""A2""</code>: requires a distribution as second input, not a vector</li>
<li><code>ad.test()</code> from package <code>truncgof</code>: requires a distribution as second input</li>
<li><code>ad.test()</code> from package <code>goftest</code>: as above</li>
<li><code>ad.test()</code> from package <code>ADGofTest</code>: as above</li>
<li><code>ad.test()</code> from package <code>kSamples</code>: in this case it's not clear to me what the output represents, and how I could normalize it, since it seems it's heavily dependent on the number of samples</li>
<li><code>ad.test()</code> from package <code>nortest</code>: only tests for normality</li>
<li><code>ADbootstrap.test()</code> from package <code>homtest</code>: this seems quite different from a standard AD test</li>
</ul>

<p>None of the above, in short, can be used as simply as the standard <code>ks.test()</code> function or as the Kullbach-Leibler function <code>KLdiv</code> from package <code>flexmix</code> (which accepts a matrix of density values).</p>

<p>How can I calculate the AD statistic between two distributions provided simply as two vectors of continuous data, using R?</p>
","4124334","","4124334","","2015-06-30 15:04:02","2016-11-01 17:22:46","Computing Anderson-Darling test statistics for continuous distributions in R","<r><comparison><distribution>","1","0","3","",""
"31133871","2","","15711499","2015-06-30 09:00:22","","2","","<p>since the HttpClient has been depreciated, you may try the following code with Asynctask (also note that we need to encode the address into URL) : </p>

<pre><code>public class GeoCoding extends AsyncTask&lt;Void, Void, Void&gt; {
    private String address;
    private static final String TAG = GeoCoding.class.getSimpleName();
    JSONObject jsonObj;
    String URL;
    private String Address1 = """", Address2 = """", City = """", State = """", Country = """", County = """", PIN = """", Area="""";
    private  double latitude, longitude;
    HttpURLConnection connection;
    BufferedReader br;
    StringBuilder sb ;

    public GeoCoding(String address){
        this.address = address;
    }

    public String getArea(){
        return Area;
    }

    public void getAddress() {
        Address1 = """";
        Address2 = """";
        City = """";
        State = """";
        Country = """";
        County = """";
        PIN = """";
        Area ="""";

        try {

            String Status = jsonObj.getString(""status"");
            if (Status.equalsIgnoreCase(""OK"")) {
                JSONArray Results = jsonObj.getJSONArray(""results"");
                JSONObject zero = Results.getJSONObject(0);
                JSONArray address_components = zero.getJSONArray(""address_components"");

                for (int i = 0; i &lt; address_components.length(); i++) {
                    JSONObject zero2 = address_components.getJSONObject(i);
                    String long_name = zero2.getString(""long_name"");
                    JSONArray mtypes = zero2.getJSONArray(""types"");
                    String Type = mtypes.getString(0);

                    if (! TextUtils.isEmpty(long_name) || !long_name.equals(null) || long_name.length() &gt; 0 || !long_name.equals("""")) {
                        if (Type.equalsIgnoreCase(""street_number"")) {
                            Address1 = long_name + "" "";
                        } else if (Type.equalsIgnoreCase(""route"")) {
                            Address1 = Address1 + long_name;
                        } else if (Type.equalsIgnoreCase(""sublocality"")) {
                            Address2 = long_name;
                        } else if (Type.equalsIgnoreCase(""locality"")) {
                            City = long_name;
                        } else if (Type.equalsIgnoreCase(""administrative_area_level_2"")) {
                            County = long_name;
                        } else if (Type.equalsIgnoreCase(""administrative_area_level_1"")) {
                            State = long_name;
                        } else if (Type.equalsIgnoreCase(""country"")) {
                            Country = long_name;
                        } else if (Type.equalsIgnoreCase(""postal_code"")) {
                            PIN = long_name;
                        }else if( Type.equalsIgnoreCase(""neighborhood"")){
                            Area = long_name;
                        }
                    }
                }
            }

        } catch (Exception e) {
            e.printStackTrace();
        }


    }

    public void getGeoPoint(){
        try{
             longitude = ((JSONArray)jsonObj.get(""results"")).getJSONObject(0)
                    .getJSONObject(""geometry"").getJSONObject(""location"")
                    .getDouble(""lng"");
            latitude = ((JSONArray)jsonObj.get(""results"")).getJSONObject(0)
                    .getJSONObject(""geometry"").getJSONObject(""location"")
                    .getDouble(""lat"");

        }catch (Exception e){
            e.printStackTrace();
        }

    }


    @Override
    protected Void doInBackground(Void... params)  {
        try {
            StringBuilder urlStringBuilder = new StringBuilder(""http://maps.google.com/maps/api/geocode/json"");
            urlStringBuilder.append(""?address="" + URLEncoder.encode(address, ""utf8""));
            urlStringBuilder.append(""&amp;sensor=false"");
            URL = urlStringBuilder.toString();
            Log.d(TAG, ""URL: "" + URL);

            URL url = new URL(URL);
            connection = (HttpURLConnection) url.openConnection();
            connection.setRequestMethod(""GET"");
            connection.setDoInput(true);
            connection.connect();
            br = new BufferedReader(new InputStreamReader(connection.getInputStream()));
            sb = new StringBuilder();
            String line;
            while ((line = br.readLine()) != null) {
                sb = sb.append(line + ""\n"");
            }
        }catch (Exception e){e.printStackTrace(); }
        return null;
    }

    @Override
    protected void onPostExecute(Void aVoid) {
        try {
            Log.d(TAG, ""response code: "" + connection.getResponseCode());
            jsonObj = new JSONObject(sb.toString());
            Log.d(TAG, ""JSON obj: "" + jsonObj);
            getAddress();
            Log.d(TAG, ""area is: "" + getArea());
            getGeoPoint();
            Log.d(""latitude"", """" + latitude);
            Log.d(""longitude"", """" + longitude);


            }
        } catch (Exception e) {
            e.printStackTrace();
        }
        super.onPostExecute(aVoid);
    }
}
</code></pre>
","5064633","","","","","2015-06-30 09:00:22","","","","0","","",""
"31133872","1","31133998","","2015-06-30 09:00:25","","1","28","<p>I use XML for configurations but sometimes I want to test new ones and use comments to leave them separated from the rest like this:</p>

<pre><code>&lt;!-- Begin testing block comments --&gt;
&lt;test1&gt;
    something here
&lt;/test1&gt;

&lt;test2&gt;
    something else
&lt;/test&gt;
&lt;!-- End testing block comments --&gt;
</code></pre>

<p>So recently I came across an error after commenting the whole block removin the first closing comment, assuming that it works as C block comments where only the first comment opening is regarded until a closing one is found (i.e. <code>/* /* */</code>).
But when I did the following:</p>

<pre><code>&lt;!-- Begin testing block comments &gt;
...
&lt;!-- End testing block comments --&gt;
</code></pre>

<p>I still came across configuration errors. Will this mis-comment my code or is it suppose to work like this? Because if it is I suppose something else might have happened...</p>
","3555155","","","","","2015-06-30 09:07:29","XML: Use comments to manipulate code?","<xml><comments><xml-comments>","1","0","","",""
"31133873","1","31340092","","2015-06-30 09:00:37","","1","426","<p>I am using the <a href=""https://github.com/bluetiger9/SmtpClient-for-Qt"" rel=""nofollow"">SMTP Client</a> project to create a library file (.dll) on Windows. Everything works fine and e-mails are sent successfully.</p>

<p>I want to port my Qt project to Android and since Android is a different architecture I need to build the library using a Android armv7 toolkit.</p>

<p>I try this, but I get error:</p>

<blockquote>
  <p>Internal Error: Unknown Android deployment JSON file location.
  Error while building/deploying project SMTPEmail (kit: Android for armeabi-v7a (GCC 4.9, Qt 5.4.2))
  When executing step ""Build Android APK""</p>
</blockquote>

<p>I suspect there is something I have to add/remove from the project file. I see there is a ""win32:CONFIG += dll"", but nothing similar for other platforms.</p>

<p>The .pro files looks like this:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>#-------------------------------------------------
#
# Project created by QtCreator 2011-08-11T20:59:25
#
#-------------------------------------------------

QT       += core network

TARGET = SMTPEmail

# Build as an application
#TEMPLATE = app

# Build as a library
TEMPLATE = lib
DEFINES += SMTP_BUILD
win32:CONFIG += dll

QMAKE_CXXFLAGS += -fPIC

SOURCES += \
    src/emailaddress.cpp \
    src/mimeattachment.cpp \
    src/mimefile.cpp \
    src/mimehtml.cpp \
    src/mimeinlinefile.cpp \
    src/mimemessage.cpp \
    src/mimepart.cpp \
    src/mimetext.cpp \
    src/smtpclient.cpp \
    src/quotedprintable.cpp \
    src/mimemultipart.cpp \
    src/mimecontentformatter.cpp \

HEADERS  += \
    src/emailaddress.h \
    src/mimeattachment.h \
    src/mimefile.h \
    src/mimehtml.h \
    src/mimeinlinefile.h \
    src/mimemessage.h \
    src/mimepart.h \
    src/mimetext.h \
    src/smtpclient.h \
    src/SmtpMime \
    src/quotedprintable.h \
    src/mimemultipart.h \
    src/mimecontentformatter.h \
    src/smtpexports.h

OTHER_FILES += \
    LICENSE \
    README.md

FORMS +=</code></pre>
</div>
</div>
</p>
","1840438","","1840438","","2015-06-30 13:15:12","2016-02-07 23:04:55","Building SMTP client for Qt for Android target","<android><c++><qt><email><shared-libraries>","3","4","","",""
"31133874","2","","16454499","2015-06-30 09:00:39","","0","","<p>i have the same problem with you, but may be this can be solve yours.</p>

<p>Click <a href=""http://solvedstack.com/questions/running-google-maps-v2-on-the-android-emulator"" rel=""nofollow"">solvedstack.com/questions/running-google-maps-v2-on-the-android-emulator</a></p>

<p>I have successfully run our app, which requires Google Maps API 2, on an AndroVM virtual machine.</p>

<p>AndroVM does not come with Google Maps or Google Play installed, but provides a modified copy of the Cyanogen Gapps archive, which is a set of the proprietary Google apps installed on most Android devices.</p>

<p>The instructions, copied from the AndroVM FAQ:</p>

<p>How can I install Google Apps (including the Market/Play app) ?</p>

<p>Download Google Apps : gapps-jb-20121011-androvm.tgz [basically the /system directory from the Cyanogen gapps archive without the GoogleTTS app which crashes on AndroVM]
Untar the gapps…tgz file on your host – you’ll have a system directory created
Get the management IP address of your AndroVM (“AndroVM Configuration” tool) and do “adb connect x.y.z.t”
do “adb root”
reconnect with “adn connect x.y.z.t”
do “adb remount”
do “adb push system/ /system/”
Your VM will reboot and you should have google apps including Market/Play.</p>

<p>You won’t have some Google Apps, like Maps, but they can be downloaded from the Market/Play.
So follow those instructions, then just install Google Maps using Google Play!</p>

<p>Some great side effects of using a VM rather than the emulator:</p>

<p>Vastly superior general performance
OpenGL acceleration
Google Play support
The only bump in the road so far has been lack of multi-touch gestures, which is a bummer for a mapping app! I plan to work around this with a hidden UI mechanism, so not such a huge problem.</p>
","5059559","","","","","2015-06-30 09:00:39","","","","0","","",""
"31133875","1","31134112","","2015-06-30 09:00:45","","2","101","<p>To simplify some processes I document a large series of terminal commands so I can copy and paste them when needed.</p>

<p>I'm encountering some strange behaviour however, as demonstrated here:</p>

<pre><code>ssh $USER@$SERVER 'rm ~/backup.tar'

tar -xvzf backup.tar
cd backup
</code></pre>

<p>When I copy all of that and paste it into a terminal, the SSH command is executed, resulting in a pause as it runs. Once it finishes, the <code>tar</code> and <code>cd</code> commands are not executed - as if they were never copied.</p>

<p>I surmise this is because they're somehow being ""typed"" (I know that's not the right word) while the SSH command is still executing, and are hence consumed by that command - doing nothing there.</p>

<p>Sure, that makes sense, but it gets weird here:</p>

<pre><code>ssh $USER@$SERVER 'rm ~/backup.tar' &lt;&lt;EOF
EOF

tar -xvzf backup.tar
cd backup
</code></pre>

<p>This seems like the same thing but with some random, purposeless heredoc. However when I've got it there, the <code>tar</code> and <code>cd</code> commands are successfully pasted and executed after the SSH command completes.</p>

<p><strong>And so my question:</strong></p>

<p>What difference did the heredoc make that caused <code>tar</code> and <code>cd</code> to be pasted as I would've originally expected?</p>

<p>Is there a better way than randomly slugging on a heredoc to achieve the same result?</p>
","1406230","","1406230","","2015-06-30 09:08:06","2015-06-30 09:12:26","Strange behaviour when copy/pasting bash commands with heredocs into terminal","<bash><heredoc>","3","0","","",""
"31133877","2","","31133416","2015-06-30 09:00:49","","0","","<p>I have modified your code a little bit, and able to achieve what you need. I am not sure of the performance though.</p>

<p><strong>Html</strong></p>

<pre><code>&lt;input type=""text"" id=""inputText"" /&gt;
&lt;div id=""sampleText""&gt;
   John Resig George Martin Malcom John Sinclair J. Ohn Sample text
&lt;/div&gt;
</code></pre>

<p><strong>JS</strong></p>

<pre><code>$(""input"").keyup(function () {

   var mysearchword = $(this).val();
   var word = mysearchword;
   var textInDiv = $(""#sampleText"").text();
   if (textInDiv.indexOf(word) &gt; 0) {
      var re = new RegExp(word, ""g"");
      $(""#sampleText"").html(textInDiv.replace(re, '&lt;span&gt;' + word +'&lt;/span&gt;'));
   };
});
</code></pre>
","639258","","","","","2015-06-30 09:00:49","","","","0","","",""
"31133878","1","31134265","","2015-06-30 09:00:49","","0","32","<p>I am writing a C# forms application, that deals with a html document. I have a List of objects, where each object has an XPath for a html node.</p>

<p>When adding a html node, the XPath for these above objects changes.</p>

<p>My question is this: How is the best way to update all XPath values, after making an addition to a document? I am currently using Html Agility Pack.</p>

<p><strong>EDIT</strong></p>

<p>I have tried the following in code, but am not sure if Html Agility Pack has this feature, or I may be writing my code incorrectly:</p>

<ol>
<li>Before making any changes to the HtmlDocument, create a HtmlNode
object for each XPath that I have</li>
<li>Insert the new HtmlNode</li>
</ol>

<p>I am creating the HtmlNodes with the following code:</p>

<pre><code>HtmlNode htmlNode1 = testingHtmlDocument.DocumentNode.SelectSingleNode(""/html[1]/body[1]/div[1]"");
</code></pre>

<ol>
<li>Should the XPath values in each of the HtmlNodes be updated after an
addition has been made to the HtmlDocument? Does XPath work this
way?</li>
<li>Other than XPath, what is the best way to identify a HtmlNode,
without adding any additional data to a HtmlNode?</li>
</ol>

<p>Thanks.</p>
","3736648","","3736648","","2015-06-30 09:51:33","2015-06-30 09:51:33","How to update XPaths when adding a node","<c#><xpath><html-agility-pack>","1","0","","",""
"31133879","2","","31132988","2015-06-30 09:00:50","","2","","<p>Create a <a href=""https://docs.djangoproject.com/en/1.8/ref/contrib/sitemaps/#sitemap-for-static-views"" rel=""nofollow"">sitemap for static views</a>:</p>

<pre><code>class StaticViewSitemap(sitemaps.Sitemap):
    priority = 0.5
    changefreq = 'daily'

    def items(self):
        return ['home']

    def location(self, item):
        return reverse(item)
</code></pre>

<p>This assumes you have url pattern for the homepage with name ""home""</p>

<pre><code>url(r'^$', views.homepage, name=""home""),
</code></pre>

<p>Then add the <code>StaticViewSitemap</code> to the <code>sitemaps</code> dict in your urls.py.</p>

<pre><code>sitemaps = {
    'blog': BlogSitemap,
    'static': StaticViewSiteMap,
}
</code></pre>
","113962","","113962","","2015-06-30 09:24:20","2015-06-30 09:24:20","","","","1","","",""
"31133880","2","","31133546","2015-06-30 09:00:51","","0","","<p>you can extend session expire time by adjusting <code>php.ini</code> file as follows</p>

<pre><code>session.gc_maxlifetime=86400 //1 day
session.gc_divisor=5000
session.gc_probability=1
</code></pre>

<p>gc_divisor and gc_probability are responsible for cleaning expired session files, by above config session will valid for 1 day </p>
","1844933","","1844933","","2015-06-30 09:10:13","2015-06-30 09:10:13","","","","0","","",""
